162,47,61,182
165,50,68,178
165,50,68,178
169,47,71,179
169,47,71,179
166,48,78,182
166,48,78,182
163,48,80,180
163,48,80,180
158,45,75,183
158,45,75,183
154,47,78,179
154,47,78,179
151,45,78,180
151,45,78,180
148,48,81,175
148,48,81,175
146,48,86,174
146,48,86,174
146,49,84,172
146,49,84,172
145,51,76,169
145,51,76,169
146,52,63,169
146,52,63,169
146,52,50,168
146,52,50,168
146,54,45,165
146,54,45,165
144,57,49,162
144,57,49,162
139,60,53,159
139,60,53,159
136,60,57,158
136,60,57,158
136,60,55,158
136,60,55,158
135,60,59,157
135,60,59,157
134,63,55,155
134,63,55,155
133,64,57,154
133,64,57,154
132,67,59,151
132,67,59,151
132,66,60,152
132,66,60,152
136,68,58,152
136,68,58,152
143,67,60,153
143,67,60,153
143,70,65,153
143,70,65,153
149,66,67,158
149,66,67,158
142,63,83,162
142,63,83,162
142,63,85,164
142,63,85,164
139,62,95,166
139,62,95,166
138,62,100,167
138,62,100,167
136,63,109,168
136,63,109,168
140,60,108,172
140,60,108,172
145,61,103,173
145,61,103,173
159,62,97,172
159,62,97,172
175,62,85,174
175,62,85,174
192,62,73,173
192,62,73,173
203,59,73,177
203,59,73,177
209,55,75,179
209,55,75,179
210,50,79,183
210,50,79,183
216,48,67,185
216,48,67,185
219,47,84,185
219,47,84,185
219,49,85,182
219,49,85,182
217,50,81,180
217,50,81,180
212,54,92,176
212,54,92,176
207,66,104,162
207,66,104,162
191,73,124,155
191,73,124,155
176,80,144,147
176,80,144,147
158,85,164,136
158,85,164,136
152,92,161,129
149,95,163,127
152,96,161,127
153,96,149,126
156,99,143,121
163,100,134,120
165,99,128,121
168,97,108,122
175,96,97,123
180,95,92,125
180,91,93,129
189,92,87,129
195,88,90,133
204,87,86,135
210,84,83,136
213,85,77,136
206,79,82,141
198,78,86,141
188,75,90,142
181,71,104,148
166,57,101,156
158,46,96,163
154,39,93,155
153,27,88,160
152,22,78,155
152,23,71,144
149,19,67,148
143,15,83,153
138,12,81,153
145,10,71,152
144,10,72,158
147,11,70,158
154,10,69,160
154,13,67,158
159,18,65,158
168,29,63,157
170,27,64,162
177,39,62,156
185,39,60,165
194,55,66,158
204,64,66,154
209,70,66,146
217,71,55,145
224,72,57,143
212,78,77,136
204,82,93,132
201,84,97,130
195,82,108,132
197,86,136,127
194,86,143,128
205,83,133,132
208,83,133,133
213,84,135,133
215,78,136,138
215,80,131,137
219,81,115,136
216,83,106,135
221,81,87,136
222,81,80,132
224,81,78,135
221,78,81,138
226,75,76,142
222,77,77,140
213,73,83,143
204,66,93,151
193,62,100,159
183,59,111,162
182,56,108,166
178,50,116,171
174,47,116,172
173,52,112,165
174,49,107,171
174,50,102,173
174,51,96,173
173,54,94,173
169,57,92,171
169,59,88,170
167,63,88,167
163,68,90,163
159,73,94,158
155,76,98,155
150,80,106,152
145,83,113,149
142,84,122,150
137,87,137,146
137,86,140,147
136,88,149,145
138,88,159,145
138,86,163,147
142,87,166,146
150,84,163,149
159,83,156,150
166,84,146,149
171,83,141,151
176,82,136,152
178,88,127,146
177,84,122,150
174,84,121,150
172,84,125,149
172,85,121,148
173,83,124,150
170,83,125,150
170,84,124,149
170,80,124,154
168,81,131,153
165,77,142,156
162,75,155,160
166,73,157,159
166,73,167,159
171,71,167,161
176,68,164,164
181,65,164,164
181,62,164,168
186,54,161,173
186,54,162,173
193,51,153,175
199,52,145,174
198,48,140,178
206,46,130,181
195,47,139,178
191,45,139,180
185,45,142,181
181,43,144,183
177,44,149,183
175,42,151,185
172,43,157,185
170,43,154,185
170,45,153,184
171,45,157,183
171,53,160,175
172,61,167,164
169,59,176,166
172,65,180,160
173,65,181,161
175,71,178,155
176,74,167,153
177,74,159,153
177,78,155,149
183,77,143,152
186,77,133,150
186,79,134,149
198,79,118,149
197,80,119,148
198,84,117,145
199,81,114,148
196,79,114,150
198,77,109,152
200,81,103,148
201,76,100,154
200,76,97,154
200,69,96,161
199,71,97,159
198,72,96,158
196,72,97,159
188,67,105,162
184,67,106,163
184,68,105,160
175,64,113,164
170,65,120,163
175,62,114,165
173,59,114,170
